category_id,manufacturer_match,avg_fits_per_part,item_condition_enc,true_fits,predicted_prob
520,1,2.6636029411764706,0,0,0.9513824926844194
544,1,3.900900900900901,1,0,0.9649315430049878
531,1,1.7358490566037736,0,0,0.9669563191595165
482,1,3.526315789473684,0,0,1.0
105,1,1.1585557299843015,1,0,0.9092031841024101
238,1,1.0721311475409836,1,0,0.9544813423668819
520,1,2.6636029411764706,0,0,0.9513824926844194
521,1,4.068181818181818,0,0,0.9939366336746032
583,1,1.0,1,0,0.7213928571428571
452,1,1.6573033707865168,0,0,0.9464659291709013
238,1,1.0721311475409836,0,0,0.9135399036113531
236,1,1.1293103448275863,1,0,0.9238099782503129
368,1,2.2884615384615383,0,0,0.9718295727577118
407,1,1.1886792452830188,0,0,0.8872886646442274
283,1,3.906417112299465,0,0,0.9842366604882031
254,1,4.930555555555555,0,0,0.9844652988861856
228,1,2.272425249169435,0,0,0.9478503133217469
234,1,1.1912568306010929,1,0,0.8976187056093318
238,1,1.0721311475409836,0,0,0.9135399036113531
353,1,1.072892938496583,0,0,0.9193514121222465
353,1,1.072892938496583,1,0,0.8743251244996957
366,1,1.150943396226415,1,0,0.8930143825081293
279,1,1.9081632653061225,0,0,0.9888250905226826
17,1,4.611111111111111,1,0,0.8295544615240561
86,1,1.247104247104247,0,0,0.9748942572621074
604,1,3.2159763313609466,0,0,0.9779500236693944
279,1,1.9081632653061225,0,0,0.9888250905226826
520,1,2.6636029411764706,0,0,0.9513824926844194
611,1,1.78125,0,0,0.9223646377422904
530,1,2.6315789473684212,0,0,0.8774127350207208
105,1,1.1585557299843015,0,0,0.8655524959134375
604,1,3.2159763313609466,0,0,0.9779500236693944
491,1,1.1573033707865168,1,0,0.9257068360294701
238,1,1.0721311475409836,1,0,0.9544813423668819
353,1,1.072892938496583,0,0,0.9193514121222465
228,1,2.272425249169435,0,0,0.9478503133217469
279,1,1.9081632653061225,0,0,0.9888250905226826
17,1,4.611111111111111,1,0,0.8295544615240561
604,1,3.2159763313609466,0,0,0.9779500236693944
407,1,1.1886792452830188,0,0,0.8872886646442274
160,1,1.1511879049676026,0,0,0.9241554489165938
315,1,1.7766990291262137,1,0,0.9172736133250858
105,1,1.1585557299843015,0,0,0.8655524959134375
302,1,1.1348314606741574,1,0,0.8250734128681703
202,1,1.2162162162162162,0,0,0.9080048706072245
544,1,3.900900900900901,0,0,0.9897351134129327
236,1,1.1293103448275863,0,0,0.8999840244453874
433,1,1.288888888888889,1,0,1.0
491,1,1.1573033707865168,0,0,0.9003329413035566
604,1,3.2159763313609466,0,0,0.9779500236693944
348,1,1.1296296296296295,0,0,0.9048689897313532
366,1,1.150943396226415,1,0,0.8930143825081293
160,1,1.1511879049676026,1,0,0.9247844763595114
283,1,3.906417112299465,0,0,0.9842366604882031
604,1,3.2159763313609466,0,0,0.9779500236693944
221,1,1.1666666666666667,1,0,0.9776233784285538
560,1,2.740740740740741,0,0,0.9516951971511746
493,1,1.1666666666666667,1,0,0.8711191766931909
105,1,1.1585557299843015,1,0,0.9092031841024101
